Order ID,Product ID,Purchase Address ID,Quantity Ordered
295665,13,0,1
295666,11,1,1
295667,15,2,1
295668,2,3,1
295669,15,4,1
295670,4,5,1
295671,15,6,1
295672,15,7,2
295673,7,8,1
295674,5,9,4
295675,15,10,2
295676,14,11,1
295677,4,12,2
295678,5,13,2
295679,15,14,1
295680,12,15,1
295681,9,16,1
295681,15,16,1
295681,7,16,1
295681,17,16,1
295682,15,17,1
295683,17,18,1
295684,5,19,4
295685,17,20,1
295686,15,21,1
295687,6,22,1
295688,6,23,1
295689,11,24,1
295690,6,25,1
295691,7,26,1
295692,4,27,2
295693,17,28,1
295694,12,29,1
295695,12,30,1
295696,12,31,1
295697,14,32,1
295698,16,33,1
295698,15,33,2
295699,4,34,1
295700,7,35,1
295701,7,36,1
295702,17,37,2
295703,4,38,1
295703,7,38,1
295704,17,39,1
295705,17,40,1
295706,5,41,3
295707,12,42,1
295708,2,43,1
295709,7,44,1
295710,5,45,1
295711,5,46,2
295712,13,47,1
295713,7,48,1
295714,18,49,1
295715,15,50,2
295716,0,51,1
295717,13,52,1
295718,12,53,1
295719,2,54,1
295720,4,55,1
295721,3,56,1
295722,17,57,1
295723,4,58,1
295724,4,59,2
295725,5,60,3
295726,18,61,1
295726,12,61,1
295727,7,62,1
295728,2,63,1
295729,3,64,1
295730,3,65,1
295731,15,66,1
295732,6,67,1
295733,2,68,1
295734,5,69,1
295735,18,70,1
295735,6,70,1
295735,17,70,1
295736,15,71,2
295737,18,72,1
295737,12,72,1
295738,5,73,1
295739,15,74,1
295740,15,75,1
295741,6,76,1
295742,6,77,1
295743,15,78,1
295744,4,79,2
295745,8,80,1
295746,2,81,1
295747,4,82,3
295748,17,83,1
295749,17,84,2
295750,7,85,1
295751,5,86,1
295752,9,87,1
295753,3,88,1
295753,12,88,1
295754,12,89,1
295755,6,90,1
295756,3,91,1
295757,4,92,1
295758,17,93,1
295759,7,94,1
295759,17,94,1
295760,7,95,1
295761,12,96,1
295762,18,97,1
295763,2,98,1
295764,12,99,1
295765,17,100,1
295766,12,101,1
295767,5,102,1
295768,5,103,2
295769,7,104,1
295770,7,105,1
295771,5,106,1
295772,12,107,1
295773,6,108,1
295774,7,109,1
295775,9,110,1
295776,15,111,1
295777,5,112,1
295778,4,113,1
295779,17,114,1
295780,15,115,1
295781,15,116,1
295782,3,117,1
295783,16,118,1
295783,15,118,1
295784,15,119,1
295785,7,120,1
295786,15,121,1
295786,6,121,1
295787,15,122,1
295788,4,123,1
295789,12,124,1
295790,12,125,1
295791,15,126,1
295792,12,127,1
295793,9,128,1
295793,15,128,1
295794,1,129,1
295795,6,130,1
295796,12,131,1
295797,17,132,1
295798,17,133,1
295799,5,134,1
295800,5,135,1
295801,12,136,1
295802,3,137,1
295803,12,138,1
295804,6,139,1
295805,17,140,1
295806,12,141,1
295807,0,142,1
295808,5,143,1
295809,2,144,1
295810,12,145,1
295811,5,146,1
295812,4,147,1
295813,7,148,1
295814,4,149,3
295815,12,150,1
295816,15,151,1
295817,15,152,1
295817,0,152,1
295818,17,153,1
295819,12,154,1
295820,7,155,1
295821,7,156,1
295822,9,157,1
295822,17,157,1
295823,18,158,1
295824,17,159,1
295825,6,160,1
295826,15,161,1
295827,7,162,1
295828,15,163,1
295829,9,164,1
295829,15,164,1
295830,7,165,1
295831,1,166,1
295832,4,167,2
295833,15,168,1
295834,9,169,1
295835,15,170,1
295836,12,171,1
295837,7,172,1
295838,3,173,1
295839,6,174,1
295840,1,175,1
295841,17,176,1
295842,6,177,1
295843,7,178,1
295844,4,179,1
295845,12,180,1
295846,8,181,1
295847,3,182,1
295848,12,183,1
295849,17,184,2
295850,15,185,1
295851,18,186,1
295852,14,187,1
295853,17,188,1
295854,18,189,1
295855,0,190,1
295856,15,191,1
295857,15,192,1
295858,5,193,1
295859,15,194,1
295860,15,195,1
295861,12,196,1
295862,5,197,1
295863,4,198,1
295864,1,199,1
295865,7,200,1
295866,17,201,1
295867,17,202,1
295868,15,203,1
295869,12,204,1
295870,12,205,1
295871,13,206,1
295872,3,207,1
295873,9,208,1
295874,17,209,1
295875,12,210,1
295876,4,211,1
295877,2,212,1
295878,15,213,1
295879,3,214,1
295880,4,215,1
295881,15,216,1
295882,17,217,1
295883,1,218,1
295884,5,219,1
295885,18,220,1
295886,17,221,1
295887,17,222,1
295888,12,223,1
295889,15,224,1
295890,14,225,1
295891,1,226,1
295892,15,227,1
295893,5,228,1
295894,2,229,1
295895,5,230,1
295896,8,231,1
295897,2,232,1
295898,4,233,1
295899,15,234,1
295900,4,235,1
295901,0,236,1
295902,4,237,2
295903,4,238,1
295904,17,239,1
295905,4,240,2
295906,2,241,1
295907,4,242,2
295908,0,243,1
295909,4,244,1
295910,12,245,1
295911,6,246,1
295912,4,247,1
295913,6,248,1
295914,5,249,1
295915,9,250,1
295916,12,251,1
295917,2,252,1
295918,4,253,1
295918,5,253,1
295919,7,254,1
295920,1,255,1
295921,2,256,1
295922,7,257,1
295923,12,258,1
295924,17,259,1
295925,4,260,1
295926,12,261,1
295927,17,262,1
295928,5,263,1
295929,6,264,1
295930,17,265,1
295931,7,266,1
295932,6,267,1
295932,7,267,1
295933,5,268,1
295934,1,269,1
295935,4,270,1
295936,5,271,1
295937,12,272,1
295938,12,273,1
295939,4,274,1
295940,17,275,1
295941,14,276,1
295942,9,277,1
295943,5,278,3
295944,1,279,1
295945,17,280,1
295946,0,281,1
295947,4,282,1
295948,13,283,1
295949,7,284,1
295950,4,285,1
295951,12,286,1
295952,15,287,1
295952,8,287,1
295953,8,288,1
295954,2,289,1
295955,15,290,1
295956,5,291,1
295957,12,292,1
295958,5,293,1
295959,5,294,2
295960,4,295,1
295961,4,296,2
295962,0,297,1
295963,13,298,1
295964,7,299,1
295965,18,300,1
295966,12,301,1
295967,5,302,2
295968,4,303,1
295969,15,304,1
295970,4,305,1
295971,4,306,2
295972,15,307,1
295973,4,308,1
295974,15,309,1
295975,15,310,1
295976,7,311,1
295977,17,312,1
295978,2,313,1
295979,7,314,1
295980,1,315,1
295981,12,316,1
295982,16,317,1
295983,4,318,3
295984,12,319,1
295985,12,320,1
295986,15,321,1
295987,3,322,1
295988,4,323,1
295989,12,324,1
295990,14,325,1
295991,18,326,1
295991,12,326,1
295992,18,327,1
295993,5,328,2
295994,12,329,1
295995,1,330,1
295996,7,331,1
295997,6,332,1
295998,5,333,2
295999,8,334,1
296000,15,335,1
296001,17,336,1
296002,5,337,2
296003,15,338,1
296004,6,339,1
296005,5,340,2
296006,15,341,1
296007,12,342,1
296008,9,343,1
296009,15,344,1
296010,1,345,1
296011,1,346,1
296012,18,347,1
296013,5,348,1
296014,5,349,1
296015,12,350,2
296016,7,351,1
296017,15,352,1
296018,5,353,2
296019,7,354,1
296020,3,355,1
296021,17,356,1
296022,17,357,1
296023,0,358,1
296024,4,359,2
296025,4,360,2
296026,6,361,1
296027,5,362,3
296028,16,363,1
296029,1,364,1
296030,13,365,1
296031,9,366,1
296032,7,367,1
296033,2,368,1
296034,9,369,1
296035,12,370,1
296036,17,371,1
296037,4,372,1
296038,7,373,1
296039,17,374,1
296040,2,375,1
296041,8,376,1
296042,2,377,1
296043,12,378,1
296044,4,379,3
296045,3,380,1
296046,15,381,1
296047,5,382,2
296048,5,383,2
296049,2,384,1
296050,15,385,1
296051,17,386,2
296052,6,387,1
296053,3,388,1
296054,14,389,1
296055,6,390,1
296056,9,391,1
296057,5,392,1
296058,15,393,1
296059,15,394,1
296060,18,395,1
296061,6,396,1
296062,2,397,1
296063,6,398,1
296064,15,399,1
296065,12,400,1
296066,1,401,1
296067,6,402,1
296068,13,403,1
296069,5,404,1
296070,12,405,1
296071,2,406,1
296072,15,407,1
296073,12,408,1
296074,12,409,1
296075,5,410,1
296076,13,411,1
296077,3,412,1
296078,8,413,1
296079,17,414,1
296080,15,415,2
296081,8,416,1
296081,8,416,1
296082,1,417,1
296083,18,418,1
296084,1,419,1
296085,9,420,1
296086,1,421,1
296087,5,422,1
296088,18,423,1
296089,12,424,1
296090,15,425,1
296091,6,426,1
296092,3,427,1
296093,17,428,1
296094,18,429,1
296095,4,430,2
296096,17,431,2
296097,2,432,1
296098,6,433,1
296099,5,434,1
296100,17,435,1
